PROTON
WATER
OXYGEN-MOLECULE
NADPH
NADP
ATP
NAD
NADH
CARBON-DIOXIDE
Pi
PPI
CO-A
ADP
UDP
Donor-H2
Acceptor
AMMONIUM
AMP
Peptides-holder
NAD-P-OR-NOP
NADH-P-OR-NOP
BIOTIN
CPD-12575
S-ADENOSYLMETHIONINE
ADENOSYL-HOMO-CYS
FAD
Reduced-ferredoxins
Oxidized-ferredoxins
FADH
FADH2
FMN
FMNH
FMNH2
THF-GLU-N
METHYLENE-THF-GLU-N
FORMYL-THF-GLU-N
5-METHYL-THF-GLU-N
5-10-METHENYL-THF-GLU-N
N5-Formyl-THF-Glu-N
METHYLENE-THF
5-METHYL-THF
ADENOSYLCOBINAMIDE
CTP
CPD-1281
CPD-7425
CPD-17456
CoM
UBIQUINONE-10
GLUTATHIONE
PAPS
THMPT
LIPOIC-ACID
CPD-18906
PQQ
CPD-15119
Cytochromes-C-Reduced
Cytochromes-C-Oxidized
Oxidized-Flavoproteins
Reduced-Flavoproteins
Reduced-flavodoxins
Oxidized-flavodoxins
Oxidized-adrenal-ferredoxins
Reduced-adrenal-ferredoxins
Oxidized-CycA1-cytochromes
Reduced-CycA1-cytochromes
